dataset,algorithm,symbols,memory_bytes,memory_per_symbol,compression_ratio,slack_bytes,insert_us,lookup_success_us,lookup_failure_us
small,BudgetSym-FNV1a,100,3945,39.45,1.64892,0,5.349,0.45,0.094
small,BudgetSym-Murmur3,100,3945,39.45,1.64892,0,3.672,0.523,0.077
small,BudgetSym-DJB2,100,3945,39.45,1.64892,0,4.945,0.368,0.097
small,RobinHood,100,6505,65.05,1,9984,0.726,0.052,0.051
small,Trie,100,50832,508.32,0.127971,0,3.046,0.137,0.015
medium,BudgetSym-FNV1a,2000,81902,40.951,1.63451,0,3.53115,0.4278,0.259
medium,BudgetSym-Murmur3,2000,81902,40.951,1.63451,0,3.4031,0.533,0.0984
medium,BudgetSym-DJB2,2000,81902,40.951,1.63451,0,3.5734,0.4224,0.1194
medium,RobinHood,2000,133870,66.935,1,134144,0.4592,0.0546,0.0588
medium,Trie,2000,514896,257.448,0.259994,0,3.95325,1.1504,0.0246
large,BudgetSym-FNV1a,20000,817384,40.8692,1.63896,0,4.52805,0.3336,0.0858
large,BudgetSym-Murmur3,20000,817384,40.8692,1.63896,0,3.41633,0.8068,0.1478
large,BudgetSym-DJB2,20000,817384,40.8692,1.63896,0,3.10772,0.3174,0.068
large,RobinHood,20000,1339656,66.9828,1,817152,0.50028,0.0536,0.0726
large,Trie,20000,4608576,230.429,0.290688,0,3.67205,0.8754,0.0222
high-prefix-similarity,BudgetSym-FNV1a,2000,71044,35.522,2.366,0,4.15295,0.4462,0.066
high-prefix-similarity,BudgetSym-Murmur3,2000,71044,35.522,2.366,0,3.81555,0.6724,0.0558
high-prefix-similarity,BudgetSym-DJB2,2000,71044,35.522,2.366,0,3.5719,0.5388,0.0576
high-prefix-similarity,RobinHood,2000,168090,84.045,1,134144,0.553,0.0816,0.0626
high-prefix-similarity,Trie,2000,157632,78.816,1.06634,0,0.75625,0.4378,0.0042
random-identifiers,BudgetSym-FNV1a,2000,105730,52.865,1.33693,0,2.26825,0.3328,0.0662
random-identifiers,BudgetSym-Murmur3,2000,105730,52.865,1.33693,0,1.94255,0.4018,0.0676
random-identifiers,BudgetSym-DJB2,2000,105730,52.865,1.33693,0,2.41795,0.3138,0.0542
random-identifiers,RobinHood,2000,141354,70.677,1,134144,0.45105,0.0606,0.0974
random-identifiers,Trie,2000,695040,347.52,0.203375,0,3.4598,0.355,0.0068
nested-scopes,BudgetSym-FNV1a,1000,39039,39.039,1.83834,0,3.4874,0.3836,0.1752
nested-scopes,BudgetSym-Murmur3,1000,39039,39.039,1.83834,0,3.4311,0.3908,0.047
nested-scopes,BudgetSym-DJB2,1000,39039,39.039,1.83834,0,3.2661,0.3524,0.0534
nested-scopes,RobinHood,1000,71767,71.767,1,67072,0.4096,0.054,0.047
nested-scopes,Trie,1000,231840,231.84,0.309554,0,1.8372,0.1682,0.0042
hot-cold-access,BudgetSym-FNV1a,1500,68354,45.5693,1.56598,0,3.115,0.482,0.0848
hot-cold-access,BudgetSym-Murmur3,1500,68354,45.5693,1.56598,0,2.89667,0.4412,0.0916
hot-cold-access,BudgetSym-DJB2,1500,68395,45.5967,1.56504,0,2.60627,0.3052,0.06
hot-cold-access,RobinHood,1500,107041,71.3607,1,166144,0.5928,0.0458,0.049
hot-cold-access,Trie,1500,438048,292.032,0.244359,0,2.64367,0.2002,0.0124
memory-stress,BudgetSym-FNV1a,1500,86434,57.6227,1.37592,0,5.84633,0.4574,0.0706
memory-stress,BudgetSym-Murmur3,1500,86434,57.6227,1.37592,0,5.74553,0.4282,0.0506
memory-stress,BudgetSym-DJB2,1500,86434,57.6227,1.37592,0,5.9978,0.6198,0.1054
memory-stress,RobinHood,1500,118926,79.284,1,166144,0.855467,0.105,0.0686
memory-stress,Trie,1500,840696,560.464,0.141461,0,7.16927,0.3844,0.0136
