dataset,implementation,symbols,memory_bytes,memory_per_symbol,compression_ratio,insert_us,lookup_success_us,lookup_failure_us,scope_enter_us,scope_exit_us
freertos,Conventional,16505,80122517,4854.44,1,0.0830231,0.167497,0.134234,0.1152,13.74
freertos,Interned,16505,31770247,1924.89,2.52194,0.0979578,0.140701,0.13284,0.04498,5.826
freertos,BudgetSym,1107471,31798053,28.7123,2.51973,0.769732,263.192,0.321703,0.28452,24.257
arduino-core,Conventional,18288,23413824,1280.28,1,0.117322,0.199735,0.137699,0.186275,14.037
arduino-core,Interned,18288,10025290,548.19,2.33548,0.155794,0.275579,0.232321,0.046165,7.556
arduino-core,BudgetSym,329480,9980006,30.2902,2.34607,1.00701,62.2487,0.205271,0.117035,17.872
zephyr,Conventional,268061,272015195,1014.75,1,0.175247,0.4831,0.480737,0.201635,39.196
zephyr,Interned,268061,117515672,438.392,2.31471,0.236594,0.297072,0.252752,0.0349,6.186
zephyr,BudgetSym,3710619,117651522,31.7067,2.31204,2.199,1252.36,0.628174,0.09547,31.179
freertos,Conventional,16505,80122517,4854.44,1,0.077662,0.156964,0.135409,0.134105,14.408
freertos,Interned,16505,31770247,1924.89,2.52194,0.124877,0.133431,0.0948204,0.02476,4.99
freertos,BudgetSym,1107471,31798053,28.7123,2.51973,0.691162,285.91,0.196966,0.235765,16.261
arduino-core,Conventional,18288,23413824,1280.28,1,0.0946227,0.147671,0.131082,0.167165,13.497
arduino-core,Interned,18288,10025290,548.19,2.33548,0.119675,0.190667,0.193936,0.039115,6.259
arduino-core,BudgetSym,329480,9980006,30.2902,2.34607,0.665228,51.8324,0.187172,0.1036,11.194
zephyr,Conventional,268061,272015195,1014.75,1,0.132338,0.220437,0.214729,0.111805,12.526
zephyr,Interned,268061,117515672,438.392,2.31471,0.206663,0.405248,0.27309,0.040585,6.962
zephyr,BudgetSym,3710619,117651522,31.7067,2.31204,1.51139,871.682,0.346563,0.0431,19.744
freertos,Conventional,16505,80122517,4854.44,1,0.107067,0.196399,0.176856,0.1474,15.96
freertos,Interned,16505,31770247,1924.89,2.52194,0.153818,0.201445,0.173631,0.038695,7.323
freertos,BudgetSym,1107471,31798053,28.7123,2.51973,0.766737,225.97,0.151042,0.276555,13.552
arduino-core,Conventional,18288,23413824,1280.28,1,0.0988883,0.122565,0.104178,0.11465,12.072
arduino-core,Interned,18288,10025290,548.19,2.33548,0.124563,0.32907,0.180589,0.038695,7.041
arduino-core,BudgetSym,329480,9980006,30.2902,2.34607,0.573008,44.1688,0.168567,0.095135,10.756
zephyr,Conventional,268061,272015195,1014.75,1,0.157751,0.408575,0.525146,0.16147,16.201
zephyr,Interned,268061,117515672,438.392,2.31471,0.202097,0.342986,0.291343,0.05385,6.981
zephyr,BudgetSym,3710619,117651522,31.7067,2.31204,1.04673,794.465,0.288842,0.038225,18.934
freertos,Conventional,16505,80122517,4854.44,1,0.0616761,0.103798,0.110749,0.0898,10.569
freertos,Interned,16505,31770247,1924.89,2.52194,0.0753184,0.104385,0.0787625,0.023205,4.626
freertos,BudgetSym,1107471,31798053,28.7123,2.51973,0.574586,232.546,0.171944,0.24552,14.626
arduino-core,Conventional,18288,23413824,1280.28,1,0.0777564,0.112495,0.0970379,0.11091,10.871
arduino-core,Interned,18288,10025290,548.19,2.33548,0.0910062,0.111764,0.10192,0.025725,4.398
arduino-core,BudgetSym,329480,9980006,30.2902,2.34607,0.445583,25.1876,0.118369,0.09304,8.198
zephyr,Conventional,268061,272015195,1014.75,1,0.0983708,0.180621,0.191383,0.122905,11.168
zephyr,Interned,268061,117515672,438.392,2.31471,0.135371,0.189068,0.153996,0.023675,4.408
zephyr,BudgetSym,3710619,117651522,31.7067,2.31204,0.825784,748.815,0.292182,0.05166,15.328
