dataset,seed_index,implementation,compression_ratio,memory_bytes
small,0,Conventional,1,6498
small,0,Interned,1.0656,6098
small,0,BudgetSym,1.61081,4034
small,1,Conventional,1,6514
small,1,Interned,1.06542,6114
small,1,BudgetSym,1.64745,3954
small,2,Conventional,1,6454
small,2,Interned,1.06607,6054
small,2,BudgetSym,1.6677,3870
small,3,Conventional,1,6473
small,3,Interned,1.06587,6073
small,3,BudgetSym,1.68524,3841
small,4,Conventional,1,6468
small,4,Interned,1.06592,6068
small,4,BudgetSym,1.67565,3860
small,5,Conventional,1,6493
small,5,Interned,1.06565,6093
small,5,BudgetSym,1.66104,3909
small,6,Conventional,1,6459
small,6,Interned,1.06602,6059
small,6,BudgetSym,1.66684,3875
small,7,Conventional,1,6491
small,7,Interned,1.06567,6091
small,7,BudgetSym,1.65123,3931
small,8,Conventional,1,6499
small,8,Interned,1.06558,6099
small,8,BudgetSym,1.63005,3987
small,9,Conventional,1,6495
small,9,Interned,1.06563,6095
small,9,BudgetSym,1.6607,3911
small,10,Conventional,1,6509
small,10,Interned,1.06548,6109
small,10,BudgetSym,1.59966,4069
small,11,Conventional,1,6490
small,11,Interned,1.06568,6090
small,11,BudgetSym,1.6514,3930
small,12,Conventional,1,6495
small,12,Interned,1.06563,6095
small,12,BudgetSym,1.71327,3791
small,13,Conventional,1,6518
small,13,Interned,1.06538,6118
small,13,BudgetSym,1.62706,4006
small,14,Conventional,1,6489
small,14,Interned,1.06569,6089
small,14,BudgetSym,1.64154,3953
small,15,Conventional,1,6487
small,15,Interned,1.06571,6087
small,15,BudgetSym,1.67234,3879
small,16,Conventional,1,6540
small,16,Interned,1.06515,6140
small,16,BudgetSym,1.61402,4052
small,17,Conventional,1,6482
small,17,Interned,1.06577,6082
small,17,BudgetSym,1.6629,3898
small,18,Conventional,1,6514
small,18,Interned,1.06542,6114
small,18,BudgetSym,1.5803,4122
small,19,Conventional,1,6516
small,19,Interned,1.0654,6116
small,19,BudgetSym,1.66735,3908
small,20,Conventional,1,6493
small,20,Interned,1.06565,6093
small,20,BudgetSym,1.6509,3933
small,21,Conventional,1,6459
small,21,Interned,1.06602,6059
small,21,BudgetSym,1.6984,3803
small,22,Conventional,1,6447
small,22,Interned,1.06615,6047
