dataset,implementation,mean_compression_ratio,ci95_low,ci95_high,p_value_vs_conventional,p_value_vs_interned,significant_at_p01
high-prefix-similarity,Conventional,1.0,1.0,1.0,,,
high-prefix-similarity,Interned,1.0452776666666665,1.0452537560064792,1.045301577326854,,,
high-prefix-similarity,BudgetSym,2.5950436666666667,2.594130714371796,2.5959566189615373,2.15893e-83,3.96127e-83,True
hot-cold-access,Conventional,1.0,1.0,1.0,,,
hot-cold-access,Interned,1.053099,1.053077803224146,1.0531201967758541,,,
hot-cold-access,BudgetSym,1.4142226666666666,1.4106318739228516,1.4178134594104816,3.62431e-49,1.92056e-47,True
large,Conventional,1.0,1.0,1.0,,,
large,Interned,1.0563360000000002,1.0563244566915937,1.0563475433084066,,,
large,BudgetSym,1.4603316666666666,1.4588423189183717,1.4618210144149615,1.40946e-61,6.12558e-60,True
medium,Conventional,1.0,1.0,1.0,,,
medium,Interned,1.0563086666666668,1.0562811473088265,1.056336186024507,,,
medium,BudgetSym,1.457891,1.4542048899565307,1.4615771100434694,4.2394e-50,1.88331e-48,True
memory-stress,Conventional,1.0,1.0,1.0,,,
memory-stress,Interned,1.0478926666666666,1.0478702233674935,1.0479151099658397,,,
memory-stress,BudgetSym,1.5859916666666665,1.5855286420106418,1.5864546913226911,2.48487e-79,1.41991e-78,True
nested-scopes,Conventional,1.0,1.0,1.0,,,
nested-scopes,Interned,1.0528103333333332,1.0527894533883984,1.052831213278268,,,
nested-scopes,BudgetSym,2.0422413333333336,2.041311533279173,2.043171133387494,8.39163e-78,3.24955e-77,True
random-identifiers,Conventional,1.0,1.0,1.0,,,
random-identifiers,Interned,1.0536636666666666,1.053624698837946,1.053702634495387,,,
random-identifiers,BudgetSym,1.2768986666666666,1.274169675614176,1.2796276577191572,1.49388e-47,7.43734e-45,True
small,Conventional,1.0,1.0,1.0,,,
small,Interned,1.0579956666666666,1.0579186508152723,1.0580726825180609,,,
small,BudgetSym,1.8095073333333334,1.7895918245121811,1.8294228421544856,4.72374e-36,4.03406e-35,True
